GSM,232,1,6710,9127,0,11.4066,47.2553,6191,50,1,1311251282,1750270560,0
GSM,232,1,6710,3692,0,11.4242,47.2586,4719,29,1,1311251411,1754817901,0
GSM,232,1,6710,21727,0,11.4621,47.2665,4842,32,1,1311251547,1758219247,0
GSM,232,1,6710,27427,0,11.4703,47.2683,4569,27,1,1311251676,1754817601,0
GSM,232,1,6710,21717,0,11.5011,47.2783,1277,50,1,1311251676,1758175874,0
GSM,232,1,6710,27417,0,11.5154,47.2833,1726,50,1,1311251676,1758219247,0
GSM,232,1,11905,1229,0,9.5961,47.466,3410,24,1,1311583165,1753627145,0
GSM,232,1,6710,7827,0,11.3737,47.2529,2540,32,1,1311695284,1756619941,0
GSM,232,1,6710,26437,0,11.3685,47.2559,1804,35,1,1311695284,1749962761,0
GSM,232,1,6701,11017,0,11.2287,47.2699,8513,50,1,1311695674,1743660670,0
GSM,232,1,6701,927,0,11.28,47.2549,10797,35,1,1311695674,1756619401,0
GSM,232,1,6701,10927,0,11.2398,47.2634,4652,22,1,1311695674,1753617601,0
GSM,232,1,6701,4207,0,11.1891,47.2836,7848,30,1,1311695674,1754819101,0
GSM,232,1,6701,937,0,11.2538,47.2692,5521,27,1,1311695674,1754818982,0
GSM,232,1,6701,64617,0,11.2158,47.2538,11675,29,1,1311695804,1775762281,0
GSM,232,1,6701,2217,0,11.0596,47.3003,7314,30,1,1311696064,1754820421,0
GSM,232,1,6701,22017,0,11.1501,47.2913,5086,27,1,1311696064,1758532566,0
GSM,232,1,6701,64317,0,11.0723,47.3032,2028,35,1,1311696323,1749965461,0
GSM,232,1,6701,11627,0,11.0545,47.3002,13843,29,1,1311696323,1753618202,0
GSM,232,1,11905,20029,0,9.6832,47.4131,2005,30,1,1311705657,1754828821,0
GSM,232,1,11905,20039,0,9.6694,47.4185,2952,32,1,1311705657,1753626061,0
GSM,232,1,11905,31319,0,9.7183,47.4301,1189,27,1,1311706044,1747289475,0
GSM,232,1,6710,22527,0,11.38,47.2464,6585,24,1,1312004899,1753617301,0
GSM,232,1,6710,22517,0,11.3952,47.2526,1499,35,1,1312004899,1756620608,0
GSM,232,1,6710,32537,0,11.4705,47.2733,3032,50,1,1312005289,1750270560,0
GSM,232,1,4106,56624,0,16.6008,48.1246,1820,50,1,1313762998,1750700895,0
GSM,232,1,4106,50123,0,16.6008,48.1246,1820,50,1,1313762998,1750700895,0
GSM,232,1,4106,50113,0,16.5969,48.1255,1050,50,1,1313762998,1772129177,0
GSM,232,1,4106,61634,0,16.6016,48.1244,1693,50,1,1313762998,1772129177,0
GSM,232,1,4106,56614,0,16.6247,48.1182,1974,28,1,1313762998,1772129177,0
GSM,232,1,4106,50133,0,16.5981,48.125,1742,50,1,1313762998,1772129177,0
GSM,232,1,4106,2130,0,16.5453,48.1279,5553,50,1,1313762998,1750700895,0
GSM,232,1,4106,2110,0,16.5624,48.1291,2445,50,1,1313762998,1750700895,0
GSM,232,1,4106,2333,0,16.5425,48.1321,1547,50,1,1313762998,1772129177,0
GSM,232,1,4106,2313,0,16.5516,48.1299,1259,22,1,1313762998,1772129177,0
GSM,232,1,4106,4730,0,16.5142,48.1422,2716,25,1,1313762998,1772129178,0
GSM,232,1,4106,4710,0,16.5157,48.1426,2033,50,1,1313762998,1772129178,0
GSM,232,1,6710,32527,0,11.4712,47.2708,7261,50,1,1314812521,1758219248,0
GSM,232,1,6701,2237,0,11.0075,47.2884,6195,36,1,1315898969,1753618202,0
GSM,232,1,6701,11617,0,11.0647,47.3,7287,27,1,1315898969,1749965342,0
GSM,232,1,6701,22027,0,11.1361,47.2937,6776,32,1,1315898969,1754820001,0
GSM,232,1,6701,10917,0,11.238,47.2843,17134,35,1,1315898969,1749964261,0
GSM,232,1,6701,917,0,11.2581,47.2669,4769,26,1,1315898969,1754818802,0
GSM,232,1,6710,25037,0,11.3259,47.2588,2866,35,1,1315898969,1749962942,0
GSM,232,1,4106,4720,0,16.5212,48.1403,2471,50,1,1316518884,1772129178,0
GSM,232,1,4106,2323,0,16.5618,48.13,3206,24,1,1316518884,1772129177,0
GSM,232,1,4106,9213,0,16.5688,48.1258,6348,50,1,1316518884,1750700895,0
GSM,232,1,4106,9223,0,16.5886,48.1246,2095,30,1,1316519549,1750700824,0
GSM,232,1,6710,26637,0,11.3331,47.2553,4674,35,1,1316775933,1749963061,0
GSM,232,1,6701,34017,0,11.2693,47.236,4747,50,1,1316777007,1775762281,0
GSM,232,1,4106,43833,0,16.408,48.1054,9831,27,1,1318037924,1738750731,0
GSM,232,1,6701,10627,0,11.1705,47.3694,5136,35,1,1318246146,1749874802,0
GSM,232,1,4106,9233,0,16.5841,48.1267,3159,41,1,1318518030,1750700824,0
GSM,232,1,6710,22537,0,11.3896,47.2547,1337,32,1,1318872556,1756620301,0
GSM,232,1,6710,26427,0,11.3671,47.2563,4985,29,1,1318872556,1754818441,0
GSM,232,1,6710,52037,0,11.3965,47.2686,4936,28,1,1320341700,1749802981,0
GSM,232,1,4106,44133,0,16.4482,48.1132,3353,32,1,1329751039,1750700821,0
GSM,232,1,4106,7410,0,16.4533,48.1218,4048,36,1,1330929713,1750700896,0
